fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2024-2025,Aug,18,MAHARASHTRA,1824,AMRAVATI,3497861,291.439826665028,58,923,2677.107744699,6106,10,45613,5171605,470375,53248,1772643,137591,204.00327,17953.2276624989,88849,167217,187668,526101,15406,470542,1056760,51719,15072.1166477999,2186381,78,36.55,17.97,129.83,NA
2024-2025,Aug,18,MAHARASHTRA,1828,BHANDARA,3747987,180.312584012033,36,5236,375.893646618,5893,8,20148,4650435,551744,59284,319057,33203,226.8996,8988.112762918,127376,207413,187379,451943,4819,286315,629662,26041,8385.3195163,2930722,80,23.11,20.44,100.68,NA
2024-2025,Aug,18,MAHARASHTRA,1829,CHANDRAPUR,3049650,246.059591287094,41,679,383.988771019,7540,15,31312,4002247,415928,63314,864999,106348,351.18473,10583.086111519,97092,168106,171844,493374,6215,381002,914822,38852,9847.9126105,2129039,79,30.65,18.46,101.75,NA
2024-2025,Aug,18,MAHARASHTRA,1831,NANDURBAR,645886,293.637802405764,27,86,206.0626526,5652,16,42524,1223811,32626,10923,949245,283419,126.76807,3926.4024486,43895,63439,142767,343788,774,527447,1075992,48176,3593.571726,504627,79,47.62,1.81,102.32,NA
2024-2025,Aug,18,MAHARASHTRA,1835,PALGHAR,2355566,271.657274089096,35,704,594.477019414,7258,25,32640,2330432,7923,1714,2163735,330665,355.69929,7280.96435511401,65764,121053,123610,368546,3476,307472,723606,39898,6330.78804570001,1333989,82,17.93,19.98,101.62,NA
2024-2025,Aug,18,MAHARASHTRA,1806,NASHIK,1018719,299.71899643431,30,428,1171.827886157,8565,65,49077,1652976,21720,10885,647163,192907,200.04222,6326.153184657,54086,84298,174712,489784,1674,692413,1474302,57642,4954.2830785,581497,81,35.39,14.58,100.66,NA
2024-2025,Aug,18,MAHARASHTRA,1807,DHULE,951485,302.28288969727,37,107,74.90916,2700,15,28825,1466029,51653,16185,240894,69750,124.96623,4631.430215,38976,61867,93120,260296,2765,440423,929657,31525,4431.554825,549644,89,71.07,0.23,103.6,NA
2024-2025,Aug,18,MAHARASHTRA,1808,JALGAON,752245,301.765144461777,29,109,456.916557597,3299,81,39347,1327583,63005,30798,94369,35989,98.05263,4561.151945397,45359,67802,135057,332538,1816,667600,1261240,42646,4006.1827578,502536,92,55.15,1.16,102.42,NA
2024-2025,Aug,18,MAHARASHTRA,1810,PUNE,206577,325.852273559092,27,37,156.540238761,3325,401,21250,286885,14151,9979,31592,20241,76.10895,1167.470483761,10422,16166,53543,141814,298,377023,810294,24575,934.821295,100985,93,68.03,0.01,104.68,NA
2024-2025,Aug,18,MAHARASHTRA,1812,SANGLI,196802,294.514649441685,27,31,211.7437716,2542,105,13626,345235,16642,7770,334,207,57.32999,1285.8414116,12489,17623,45716,97874,133,314476,551692,16168,1016.76765,119334,86,52.53,0,100.82,NA
2024-2025,Aug,18,MAHARASHTRA,1820,Dharashiv,945670,299.387074928784,38,141,189.80823371,1740,48,25153,1544947,92987,24581,5791,1136,73.83585,4889.01571621,40414,62268,76037,196039,2534,325803,705610,26893,4625.3716325,581954,81,57.87,0.12,109.76,NA
2024-2025,Aug,18,MAHARASHTRA,1825,YAVATMAL,2717844,298.618225555882,36,533,145.52895597,5703,8,44438,4016007,193093,37137,435315,71224,182.87779,12320.93558757,110508,161815,212335,476019,4263,675831,1382169,50141,11992.5288416,1626054,92,50.74,25.02,99.86,NA
2024-2025,Aug,18,MAHARASHTRA,1832,WASHIM,1602891,299.545793209304,37,496,125.06903992,1807,2,26483,2019675,134126,19373,56516,6996,129.39513,6304.31566892,54381,85376,82447,195767,1968,278955,554875,28290,6049.851499,805160,91,64.61,24.91,99.75,NA
2024-2025,Aug,18,MAHARASHTRA,1834,HINGOLI,1375461,308.532923282609,36,85,222.718756,2406,14,23924,1603639,227421,44261,255106,42193,87.87605,5258.3490916,43796,70808,93026,237658,2174,259567,589534,26330,4947.7542856,637015,90,74.72,0.15,102.21,NA
2024-2025,Aug,18,MAHARASHTRA,1835,PALGHAR,2355566,272.687068141842,35,695,581.805069414,7177,25,32596,2313850,7701,1702,2148970,330542,355.69929,7247.07408561401,65572,120673,123510,368369,3405,307244,723335,39773,6309.56972620001,1326468,82,17.71,20.26,101.93,NA
2024-2025,Nov,18,MAHARASHTRA,1803,RAIGAD,148802,289.356257923435,21,69,187.175277314,1439,97,18776,212187,6130,3104,48716,14789,42.9022,844.053840314,9868,15387,30116,69818,141,193720,349334,20215,613.976363,88636,70,26.59,2.88,105,NA
2024-2025,Nov,18,MAHARASHTRA,1804,RATNAGIRI,370729,293.984033372636,22,93,267.821767416,6865,10,23810,457141,17921,7743,4981,1216,107.36677,1719.110087416,20189,29019,58324,131531,227,256441,475460,30675,1343.92155,197024,96,58.91,0.41,102.78,NA
2024-2025,Nov,18,MAHARASHTRA,1808,JALGAON,1733191,286.666634704305,35,153,2343.990014529,8784,45,33952,2050224,96826,31490,146293,37306,302.38013,8523.678289229,58057,88390,141434,347603,3698,673797,1272741,42736,5877.3081447,796872,91,49.97,0.72,102,NA
2024-2025,Nov,18,MAHARASHTRA,1810,PUNE,370626,309.165130758803,30,60,369.312071237,6876,230,18830,440391,21663,10253,53164,21116,104.08057,1834.928052237,14473,23144,55809,147326,495,379966,816676,25706,1361.535411,160327,93,68.76,0.02,101.68,NA
2024-2025,Nov,18,MAHARASHTRA,1815,Chatrapati Sambhaji Nagar,10481129,290.053376297461,62,1394,10483.245202473,9679,15,78174,10155216,229558,28780,139536,12520,543.39355,40482.185630773,162507,292004,241685,642017,31664,690921,1468895,87853,29455.5468783,4263970,94,79.58,0.23,106.61,NA
2024-2025,Nov,18,MAHARASHTRA,1820,Dharashiv,2123816,271.435007801232,46,162,1000.486036614,2508,25,22835,2154147,130618,24209,8111,1159,306.86491,7154.460024114,46050,71800,77612,197741,4777,326971,705256,25343,5847.1090775,818907,79,51.92,0.1,112.81,NA
