fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2024-2025,July,11,GUJARAT,1133,MAHISAGAR,762138,196.63330345067,35,542,325.843785064,2483,10,6427,901303,28690,6651,347339,63791,62.30284,2160.40848806399,25350,38256,75892,163441,54,158475,334113,8910,1772.26186299999,382265,69,12.82,56.83,99.89,NA
2024-2025,July,11,GUJARAT,1101,JAMNAGAR,334973,238.917014907029,41,15,133.319472,415,151,2161,227812,39004,5135,2155,203,40.69138,718.292482,5542,9304,20655,37595,43,46681,87701,2576,544.28163,97729,46,13.32,49.64,100,NA
2024-2025,July,11,GUJARAT,1104,BHAVNAGAR,322743,233.411964516314,43,77,112.792875274,360,160,2516,539741,23184,3365,2635,371,85.72735,1458.340296674,12402,26237,34952,79231,165,94115,214994,2876,1259.8200714,259933,68,7.11,78.37,99.65,NA
2024-2025,July,11,GUJARAT,1106,JUNAGADH,359780,215.530547279001,34,150,206.606180357,1054,83,2341,220838,47982,17921,10734,4404,68.06463,750.644160357,6325,11683,34020,83942,18,115551,293159,3395,475.97335,91324,76,9.34,42.51,99.92,NA
2024-2025,July,11,GUJARAT,1110,MAHESANA,342394,269.745783783072,38,36,212.115943289,2757,20,4438,379665,22611,4385,643,82,57.26966,1293.515933289,9897,12149,29106,44783,35,93405,147744,7195,1024.13033,143424,65,51.71,18.12,100,NA
2024-2025,July,11,GUJARAT,1121,PORBANDAR,127124,185.620797765691,48,3,32.5868469,355,33,767,184039,53578,5131,10046,1094,37.24424,411.4457469,3758,5717,9347,21616,79,34622,76050,1122,341.61466,112058,53,7.02,70.4,99.98,NA
2024-2025,July,11,GUJARAT,1122,ANAND,269071,220.997785338957,29,21,141.770553209,661,22,2248,212195,9453,3146,4489,695,71.13186,681.848663809,7162,9617,25424,43797,39,57975,91573,2909,468.9462506,115109,73,58.19,21.02,99.84,NA
2024-2025,July,11,GUJARAT,1127,Morbi,115188,189.850340433916,37,1,53.6710034659999,559,44,893,91354,9568,1165,267,17,16.15173,243.258613466,2429,3842,6011,11853,52,30892,66496,1452,173.43588,43531,55,62.33,11.7,99.98,NA
2024-2025,July,11,GUJARAT,1131,GIR SOMNATH,239544,244.532126992872,30,32,68.926678162,675,58,1653,174246,26868,6021,2712,762,68.67395,563.688078162,5670,11024,23162,55600,13,48156,110453,2328,426.08745,95841,67,7.37,48.28,99.67,NA
2024-2025,Aug,11,GUJARAT,1101,JAMNAGAR,365376,240.592543757487,40,15,263.4478524,479,72,2142,240416,40857,5143,2195,209,48.63045,890.5012724,5933,9757,20683,37582,45,46668,87617,2621,578.42297,101182,46,13.64,46.11,99.98,NA
2024-2025,Aug,11,GUJARAT,1105,AMRELI,423598,240.489093933479,46,54,117.208562134,1226,111,2832,374531,65348,11701,1770,244,61.3309,1079.245670534,8141,18160,22977,65164,178,113937,297511,4058,900.7062084,186295,61,5.5,81.88,99.85,NA
2024-2025,Aug,11,GUJARAT,1113,KHEDA,347352,218.489621584865,34,10,114.173337288,2085,5,6933,255883,2747,1487,772,369,75.54567,748.796805687999,7423,9604,34108,68505,33,139194,281537,9018,559.077798399999,84601,83,48.82,8.7,99.96,NA
2024-2025,Aug,11,GUJARAT,1119,DANG,611275,288.514076120057,34,102,81.2543126,1482,3,6542,515554,1027,92,499386,57280,101.45833,1670.1585026,14991,22227,32231,58781,22,47671,85945,8024,1487.44586,238215,80,64.3,23.98,99.99,NA
2024-2025,Aug,11,GUJARAT,1127,Morbi,123192,193.633728390571,38,1,103.045955576,681,39,821,98973,10591,1182,267,17,23.18497,317.876035576,2596,4068,6083,12000,52,31016,66648,1502,191.64511,45965,54,53.88,9.16,99.98,NA
2024-2025,Aug,11,GUJARAT,1128,Botad,253687,230.227898685697,29,31,142.690093653,639,0,1225,133683,4112,1699,111,41,30.05649,480.522145453,4492,8836,19955,45313,4,52786,120211,1864,307.7755618,60698,64,5.92,58.14,99.86,NA
